"","Subject_ID","Age","Gender","Session","Trial","Advisor","stm_Coh","stm_Dir","Decicion_1","Confidence_1","RT_1","Accuracy_1","Score_1","Score_2","Decision_2","Confidence_2","RT_2","Accuracy_2","avd_Decision","adv_Confidence","adv_Accuracy","Benefit","abs_conf_1","Calibration","mean_Susceptibility"
"1",1,20,1,1,1,2,0.123,0,0,-0.7,4683,1,82,68,0,-0.6,11063,1,1,0.6,0,-14,0.7,1.57098216697147,-0.246283712012957
"2",1,20,1,1,2,2,0.123,0,0,-0.6,3535,1,68,82,0,-0.7,9150,1,0,-0.7,1,14,0.6,1.57098216697147,-0.246283712012957
"3",1,20,1,1,3,2,0.123,0,0,-0.7,1387,1,82,82,0,-0.7,4947,1,0,-0.8,1,0,0.7,1.57098216697147,-0.246283712012957
"4",1,20,1,1,4,2,0.123,1,1,0.6,1510,1,68,68,1,0.6,5235,1,1,1,1,0,0.6,1.57098216697147,-0.246283712012957
"5",1,20,1,1,5,2,0.123,0,0,-0.6,1142,1,68,28,1,0.6,5952,0,1,1,0,-40,0.6,1.57098216697147,-0.246283712012957
"6",1,20,1,1,6,2,0.123,1,0,-0.6,2010,0,28,68,1,0.6,4320,1,1,0.6,1,40,0.6,1.57098216697147,-0.246283712012957
"7",1,20,1,1,7,2,0.123,0,1,0.8,1655,0,-28,-28,1,0.8,3805,0,0,-0.7,1,0,0.8,1.57098216697147,-0.246283712012957
"8",1,20,1,1,8,2,0.123,1,0,-0.7,1112,0,2,2,0,-0.7,4432,0,0,-0.7,0,0,0.7,1.57098216697147,-0.246283712012957
"9",1,20,1,1,9,2,0.123,0,1,0.8,1190,0,-28,-28,1,0.8,2866,0,1,0.7,0,0,0.8,1.57098216697147,-0.246283712012957
"10",1,20,1,1,10,2,0.123,0,0,-0.7,892,1,82,82,0,-0.7,2322,1,0,-1,1,0,0.7,1.57098216697147,-0.246283712012957
"11",1,20,1,1,11,2,0.123,0,1,0.7,1591,0,2,2,1,0.7,3776,0,1,0.8,0,0,0.7,1.57098216697147,-0.246283712012957
"12",1,20,1,1,12,2,0.123,1,0,-0.7,2223,0,2,28,0,-0.6,6498,0,1,0.8,1,26,0.7,1.57098216697147,-0.246283712012957
"13",1,20,1,1,13,2,0.123,1,1,0.8,1758,1,92,92,1,0.8,3253,1,1,0.8,1,0,0.8,1.57098216697147,-0.246283712012957
"14",1,20,1,1,14,2,0.123,0,1,0.9,1874,0,-62,-62,1,0.9,3199,0,1,0.9,0,0,0.9,1.57098216697147,-0.246283712012957
"15",1,20,1,1,15,2,0.123,1,1,0.6,1826,1,68,68,1,0.6,3571,1,1,0.6,1,0,0.6,1.57098216697147,-0.246283712012957
"16",1,20,1,1,16,2,0.123,1,1,0.7,3695,1,82,82,1,0.7,4995,1,1,0.7,1,0,0.7,1.57098216697147,-0.246283712012957
"17",1,20,1,1,17,2,0.123,1,0,-0.8,1183,0,-28,-28,0,-0.8,2503,0,0,-0.9,0,0,0.8,1.57098216697147,-0.246283712012957
"18",1,20,1,1,18,2,0.123,1,1,0.7,2042,1,82,68,1,0.6,6613,1,0,-0.9,0,-14,0.7,1.57098216697147,-0.246283712012957
"19",1,20,1,1,19,2,0.123,1,1,0.7,1749,1,82,82,1,0.7,4234,1,0,-0.6,0,0,0.7,1.57098216697147,-0.246283712012957
"20",1,20,1,1,20,2,0.123,0,1,0.7,3601,0,2,28,1,0.6,6716,0,0,-0.6,1,26,0.7,1.57098216697147,-0.246283712012957
"21",1,20,1,1,21,2,0.123,1,1,0.7,24442,1,82,82,1,0.7,26777,1,1,0.6,1,0,0.7,1.57098216697147,-0.246283712012957
"22",1,20,1,1,22,2,0.123,0,1,0.7,1658,0,2,28,1,0.6,5158,0,0,-1,1,26,0.7,1.57098216697147,-0.246283712012957
"23",1,20,1,1,23,2,0.123,0,1,0.6,1083,0,28,28,1,0.6,2423,0,1,0.8,0,0,0.6,1.57098216697147,-0.246283712012957
"24",1,20,1,1,24,2,0.123,0,0,-0.6,1169,1,68,68,0,-0.6,3084,1,0,-0.9,1,0,0.6,1.57098216697147,-0.246283712012957
"25",1,20,1,1,25,2,0.123,0,0,-0.6,1155,1,68,68,0,-0.6,3065,1,0,-0.7,1,0,0.6,1.57098216697147,-0.246283712012957
"26",1,20,1,1,26,2,0.123,0,0,-0.6,704,1,68,68,0,-0.6,2985,1,0,-0.7,1,0,0.6,1.57098216697147,-0.246283712012957
"27",1,20,1,1,27,2,0.123,1,1,0.6,1667,1,68,82,1,0.7,3357,1,1,0.7,1,14,0.6,1.57098216697147,-0.246283712012957
"28",1,20,1,1,28,2,0.123,0,0,-0.6,1509,1,68,28,1,0.6,6390,0,1,0.6,0,-40,0.6,1.57098216697147,-0.246283712012957
"29",1,20,1,1,29,2,0.123,0,0,-0.8,1485,1,92,92,0,-0.8,3365,1,0,-0.8,1,0,0.8,1.57098216697147,-0.246283712012957
"30",1,20,1,1,30,2,0.123,1,1,0.7,965,1,82,68,1,0.6,2955,1,0,-0.9,0,-14,0.7,1.57098216697147,-0.246283712012957
"31",1,20,1,1,31,2,0.123,1,0,-0.6,816,0,28,28,0,-0.6,2726,0,0,-0.8,0,0,0.6,1.57098216697147,-0.246283712012957
"32",1,20,1,1,32,2,0.123,1,1,0.8,4509,1,92,92,1,0.8,6589,1,1,0.8,1,0,0.8,1.57098216697147,-0.246283712012957
"33",1,20,1,1,33,2,0.123,0,0,-0.7,1204,1,82,92,0,-0.8,4484,1,0,-1,1,10,0.7,1.57098216697147,-0.246283712012957
"34",1,20,1,1,34,2,0.123,0,1,0.8,5523,0,-28,-28,1,0.8,7363,0,0,-0.8,1,0,0.8,1.57098216697147,-0.246283712012957
"35",1,20,1,1,35,2,0.123,1,0,-0.8,1437,0,-28,-28,0,-0.8,3307,0,0,-0.7,0,0,0.8,1.57098216697147,-0.246283712012957
"36",1,20,1,1,36,2,0.123,0,1,0.7,905,0,2,2,1,0.7,2225,0,0,-1,1,0,0.7,1.57098216697147,-0.246283712012957
